cls,window_ms,D_mm,phase_i,phase_j,origin_y_mm,origin_z_mm,n_included,n_correct,match_fraction
SHORT,400,400,8,6,-2590.0000,240.0000,47,36,0.765957
SHORT,400,400,8,7,-2590.0000,280.0000,47,39,0.829787
SHORT,400,400,8,8,-2590.0000,320.0000,47,38,0.808511
SHORT,400,400,8,9,-2590.0000,360.0000,47,38,0.808511
SHORT,400,400,9,0,-2550.0000,0.0000,47,40,0.851064
SHORT,400,400,9,1,-2550.0000,40.0000,47,38,0.808511
SHORT,400,400,9,2,-2550.0000,80.0000,47,41,0.872340
SHORT,400,400,9,3,-2550.0000,120.0000,47,37,0.787234
SHORT,400,400,9,4,-2550.0000,160.0000,47,40,0.851064
SHORT,400,400,9,5,-2550.0000,200.0000,47,38,0.808511
SHORT,400,400,9,6,-2550.0000,240.0000,47,37,0.787234
SHORT,400,400,9,7,-2550.0000,280.0000,47,41,0.872340
SHORT,400,400,9,8,-2550.0000,320.0000,47,40,0.851064
SHORT,400,400,9,9,-2550.0000,360.0000,47,40,0.851064
SHORT,400,500,0,0,-2910.0000,0.0000,47,40,0.851064
SHORT,400,500,0,1,-2910.0000,50.0000,47,40,0.851064
