session,flight_id,N_requested,N_used,status,speed_m_s,elevation_deg,accel_mag_m_s2,gravity_crosscheck_diff_deg,registration_used,n_paired_frames,flag_reason
2026_07_21_gym,flight_66,20,20,ok,7.5395,-1.0437,8.5814,18.0285,registration2,37,"|a|=8.58 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_66,30,30,ok,7.4326,-1.4275,7.8749,12.1080,registration2,37,"|a|=7.87 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_67,20,20,ok,8.4360,-8.9809,10.1406,3.3370,registration2,27,
2026_07_21_gym,flight_67,30,27,ok,8.6156,-8.8409,10.2951,14.3413,registration2,27,"adjusted from 30 -> 27, flight has fewer usable frames"
2026_07_21_gym,flight_68,20,20,ok,8.5393,11.7886,10.4983,25.9243,registration2,50,
2026_07_21_gym,flight_68,30,30,ok,8.3266,11.6013,9.4453,15.3368,registration2,50,"|a|=9.45 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_69,20,20,ok,8.6456,12.8327,9.9097,18.8997,registration2,48,
2026_07_21_gym,flight_69,30,30,ok,8.6752,13.4190,10.5200,17.9976,registration2,48,
2026_07_21_gym,flight_70,20,20,ok,8.9326,3.8086,12.6354,29.1561,registration2,39,"|a|=12.64 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_70,30,30,ok,9.1683,2.0268,9.5649,19.0494,registration2,39,"|a|=9.56 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_71,20,20,ok,7.3320,-10.5741,9.7595,31.6148,registration2,27,"|a|=9.76 outside nominal band [9.8,11.0]"
2026_07_21_gym,flight_71,30,27,ok,7.2827,-9.7920,9.4509,19.3992,registration2,27,"|a|=9.45 outside nominal band [9.8,11.0]; adjusted from 30 -> 27, flight has fewer usable frames"
2026_07_21_gym,flight_72,20,20,ok,9.1713,2.8864,15.0059,60.6413,registration2,42,"|a|=15.01 outside nominal band [9.8,11.0]; gravity crosscheck diff=60.6 deg > 45.0"
